/SMB/SBA1_T_FILE
ECLOG_DATA
E071K
SCPRVALS
D010TAB
ECLOG_SCR
E071
SCPRVALL
DOKTL
DBTABLOG
D010INC
RSMPTEXTS
/SMB/PME_RT_KB
T100
WBCROSSGT
AGR_HIERT
SCPRRECA
DD04T
DDCMP_EDGES
DD03L
/SMB/SBA1_BCS_LD
D021T
SEOSUBCOTX
SEOSUBCO
SEOSUBCODF
/SMB/RT_ABAPLOGP
REPOSRC
EHFNDI_REQ_RL_SN
ECLOG_XDAT
TODIR
STXFOBJT
SOTR_TEXT
SCPRSVALS
DD07T
/SMB/CHG_REC
T512T
SEOCOMPOTX
SCPRACPM
DOKHL
DOKIL
WDY_CONFIG_COMPT
REPOTEXT
TADIR
SWDSTEXT
DSYS_PHFILE_ECD2
DD02T
SEOCOMPO
SEOCOMPODF
EHFNDI_REQ_THRL
/UIF/LREPDEREF
BALDAT
/UIF/LREPDTEXT
FUNCT
DMC_FIELDT
STERM_TEXT
STERM_LINK
CDPOS
TMDIR
/IWBEP/I_SBO_PRT
ESH_OM_CDATATYFT
FUPARAREF
USR13
SCPRSVALL
EHFNDD_LISU_NAME
TRDIRT
ALALERTDB
CNVPE_OBJECT_T
CUS_IMGACT
DDPRS
BSP_DL_STXTREP2
ECLOG_SCNT
WDY_UI_PROPERTY
TMENU01T
CUS_ATRT
DDCDS_CONDITION
CNV_PE_OBJECT_T
DDDDLSRC02BT
CUS_ACTT
DDFIELDANNO
CCTABWORKLIST
/UI2/EAM_MENUT
DDCDS_SELECTLIST
STXFTXT
TSTCT
TFO04
AQGTS
E071KF
SMENSAPT
/SMB/PME_RT_VARK
/UI2/PB_C_CHIPT
DDLX_RT_DATA_T
DDTYPES
T5F99FFT
DD05S
CCSELTABV2
DRFD_SERVOUT_LOG
VRSX4
DD27S
FAGL_011QT
ECTD_TEXT
EHFNDI_LISU_NAME
/UI2/PB_C_PROPT
DMEE_TREE_NODE_T
DDCMP_OBJECTS
EHFNDI_REQ_GR_A
DDHEADANNO
BALHDR
DDDDLSRC03NT
DDNTT
/UIF/LREPDTEXTCD
T52D9
SWOTTQ
DD25T
/SMB/BBPR_LG
DD03ND
/SMB/BBPR_I
T52C2
DD03T
DD40T
T596H
DD08T
CEFORMT
TSP06
DD01T
USOBX_CD
AGR_1251
ESH_OM_CDATATYT
ESH_RUBU_TEXTSET
O2PAGCON
/SMB/BC_SET_LOG
SWDSFLXRUTX
ESH_OM_IDATATYFT
ESH_OM_ADATATYFT
T7RU2P
SWDSWFCTXT
TNODEIMGT
TTREET
